kappa,L,p,feature,h,value,derivative,preparation_failed,branch_switch,branch_checked,branch_sensitive
0.0,6,0,order,0.45,0.952167810228799,0.2336540321724332,False,True,False,
0.0,6,0,order,0.5,0.9395483001566585,0.27458812428841384,False,False,False,
0.0,6,0,order,0.55,0.9247089977999574,0.3236587363935435,False,True,False,
0.0,6,0,order,0.6,0.9071824265173039,0.3833494519938778,False,True,False,
0.0,6,0,order,0.65,0.8863740526005698,0.4559080552769039,False,True,False,
0.0,6,0,order,0.7,0.8615916209896133,0.5423545769153932,False,True,False,
0.0,6,0,order,0.75,0.8321385949090306,0.6407725812489815,False,True,False,
0.0,6,0,order,0.8,0.7975143628647151,0.7445971386982828,False,True,True,False
0.0,6,0,order,0.85,0.7576788810392022,0.8419693674856967,False,False,False,
0.0,6,0,order,0.9,0.7133174261161456,0.9176691860668829,False,False,False,
0.0,6,0,order,0.95,0.6659119624325139,0.95792637600226,False,False,False,
0.0,6,0,order,1.0,0.6175247885159197,0.9560891242019931,False,False,False,
0.0,6,0,order,1.05,0.5703030500123145,0.9150634951163639,False,True,False,
0.0,6,0,order,1.1,0.5260184390042832,0.8452086596517123,False,True,False,
0.0,6,0,order,1.15,0.48578218404714346,0.7595969137901291,False,True,False,
0.0,6,0,order,1.2,0.4500587476252704,0.669714139074773,False,False,False,
0.0,6,0,order,1.25,0.41881077013966617,0.5834857846382802,False,True,False,
0.0,6,0,order,1.3,0.3917101691614423,0.5052184265890318,False,True,False,
0.0,6,0,order,1.35,0.3682889274807629,0.4366245607031156,False,False,False,
0.0,6,0,order,1.4,0.34804771309113086,0.3777517090950737,False,True,False,
0.0,6,0,order,1.45,0.33051375657125553,0.3278481020963375,False,False,False,
0.0,6,0,order,1.5,0.31526290288149705,0.2857183050181753,False,False,False,
0.0,6,0,order,1.55,0.301941926069438,0.25020486428817357,False,False,False,
0.0,6,0,order,1.6,0.2902424164526797,0.22028142333383283,False,False,False,
0.0,6,0,order,1.65,0.27991378373605474,0.19495459854912056,False,False,False,
0.0,6,0,order,1.7,0.2707469565977676,0.17346124711646116,False,True,True,False
0.0,6,0,order,1.75,0.2625676590244086,0.15512468122612022,False,False,False,
0.0,6,0,order,1.8,0.25523448847515556,0.13936350535168618,False,False,False,
0.0,6,0,order,1.85,0.24863130848923998,0.12583525652803917,False,False,False,
0.0,6,0,order,1.9,0.2426509628223517,0.11411773303174888,False,False,False,
0.0,6,0,order,1.95,0.23721953518606506,0.1038550525568378,False,False,False,
0.0,6,0,order,2.0,0.2322654575666679,0.09430805221904848,False,False,False,
0.0,6,0,mx,0.05,0.025007517565534636,0.5001503489414776,False,False,False,
0.0,6,0,mx,0.1,0.050062661343973705,0.5020554021960848,False,False,False,
0.0,6,0,mx,0.15,0.0752130577851431,0.5044760730763077,False,False,False,
0.0,6,0,mx,0.2,0.10051026865160446,0.5079938405115836,False,False,False,
0.0,6,0,mx,0.25,0.12601244183630148,0.5128062378877012,False,False,False,
0.0,6,0,mx,0.3,0.15179089244037458,0.5192465321406285,False,False,False,
0.0,6,0,mx,0.35,0.1779370950503643,0.527844676381551,False,False,False,
0.0,6,0,mx,0.4,0.20457536007852967,0.5393758699498103,False,True,False,
0.0,6,0,mx,0.45,0.23187468204534536,0.5548666622593887,False,True,False,
0.0,6,0,mx,0.5,0.2600620263044685,0.5755799477125221,False,False,False,
0.0,6,0,mx,0.55,0.28943267681659757,0.6028920655347427,False,True,False,
0.0,6,0,mx,0.6,0.3203512328579427,0.6379657420133129,False,True,False,
0.0,6,0,mx,0.65,0.3532292510179289,0.6812410022612547,False,True,False,
0.0,6,0,mx,0.7,0.38847533308406806,0.7315761182775575,False,True,False,
0.0,6,0,mx,0.75,0.4263868628456847,0.7851641640684845,False,True,False,
0.0,6,0,mx,0.8,0.46699174949091654,0.8349263525785515,False,True,True,False
0.0,6,0,mx,0.85,0.5098794981035397,0.8710874324975721,False,False,False,
0.0,6,0,mx,0.9,0.5541004927406739,0.883666428213731,False,False,False,
0.0,6,0,mx,0.95,0.5982461409249127,0.8662713360670367,False,False,False,
0.0,6,0,mx,1.0,0.6407276263473776,0.819219153902286,False,False,False,
0.0,6,0,mx,1.05,0.6801680563151413,0.7493517296756433,False,True,False,
0.0,6,0,mx,1.1,0.715662799314942,0.6669779005027507,False,True,False,
0.0,6,0,mx,1.15,0.7468658463654164,0.5821062022815946,False,True,False,
0.0,6,0,mx,1.2,0.7738734195431012,0.5019208724687232,False,False,False,
0.0,6,0,mx,1.25,0.7970579336122887,0.4303378040376371,False,True,False,
0.0,6,0,mx,1.3,0.8169071999468649,0.3686650417528048,False,True,False,
0.0,6,0,mx,1.35,0.8339244377875693,0.3166390664904899,False,False,False,
0.0,6,0,mx,1.4,0.8485711065959141,0.27322747009822734,False,True,False,
0.0,6,0,mx,1.45,0.8612471847973919,0.2371476363625078,False,False,False,
