n,kappa,h,ref,seed,method,cnots,delta_e,fidelity,joint_pass
8,0.525,0.55,plus,11,gradient,128,0.0007139131049958003,0.9983621929713866,True
8,0.525,0.55,plus,11,gradient,128,0.0007139131049958003,0.9983621929713866,True
8,0.2,1.0,plus,11,cost,0,0.20839678755441238,0.6864486888695296,False
8,0.2,1.0,plus,11,cost,16,0.012704392445897383,0.9671123132385693,False
8,0.2,1.0,plus,11,cost,32,0.0012112702693660715,0.9959189218516169,False
8,0.2,1.0,plus,11,cost,64,4.55726968422443e-05,0.999917863267301,True
8,0.2,1.0,plus,11,cost,128,9.027489369373143e-07,0.9999991700262919,True
8,0.2,1.0,plus,11,cost,128,9.027489369373143e-07,0.9999991700262919,True
8,0.4,0.5,ghz,11,cost,7,0.19053957087283158,0.060978891513332564,False
8,0.4,0.5,ghz,11,cost,15,0.140290143329863,0.09720791331774623,False
8,0.4,0.5,ghz,11,cost,31,0.08401446849711858,0.21049663789163559,False
8,0.4,0.5,ghz,11,cost,63,0.00314561335384278,0.9815327900055733,False
8,0.4,0.5,ghz,11,cost,95,0.0009238482173814511,0.996190905793396,False
8,0.4,0.5,ghz,11,cost,127,0.00024280286494959835,0.9993928541475684,True
8,0.4,0.5,ghz,11,cost,127,0.00024280286494959835,0.9993928541475684,True
8,0.0,0.2,plus,37,fixed,0,0.8100253198889197,0.017434082290676986,False
8,0.0,0.2,plus,37,fixed,16,0.434694416048495,0.14416673108886355,False
8,0.525,1.25,antiphase,11,cost,6,0.8963906429529297,0.035914632971368494,False
8,0.525,1.25,antiphase,11,cost,16,0.571375221026963,0.1949550161840197,False
8,0.525,1.25,antiphase,11,cost,32,0.04245777090148262,0.9311272837429099,False
8,0.525,1.25,antiphase,11,cost,64,0.0018028383493504663,0.9976655606861873,False
8,0.525,1.25,antiphase,11,cost,96,7.554214115379487e-05,0.9999382272109245,True
8,0.525,1.25,antiphase,11,cost,128,1.7858586319308145e-05,0.9999871082956341,True
8,0.525,1.25,antiphase,11,cost,128,1.7858586319308145e-05,0.9999871082956341,True
8,0.7,0.3,plus,11,cost,0,0.4359133802182592,0.12467350048325992,False
8,0.7,0.3,plus,11,cost,16,0.08905359876867025,0.28247233972795116,False
8,0.7,0.3,plus,11,cost,32,0.0033722356307799295,0.4977458200743363,False
8,0.7,0.3,plus,11,cost,64,0.0026567651159675743,0.5067730146621723,False
8,0.7,0.3,plus,11,cost,96,0.0023818793730290277,0.5144003561381199,False
8,0.7,0.3,plus,11,cost,128,0.002256695176602097,0.522582164206547,False
8,0.7,0.3,plus,11,cost,128,0.002256695176602097,0.522582164206547,False
12,0.3,1.9,ghz,11,cost,11,1.318462832961938,0.00308507718928381,False
12,0.3,1.9,ghz,11,cost,31,0.3642718026967149,0.4197936205479128,False
12,0.3,1.9,ghz,11,cost,63,0.2362052356348808,0.493251640106245,False
12,0.3,1.9,ghz,11,cost,95,0.0006907197383897076,0.9988801444336987,True
12,0.3,1.9,ghz,11,cost,127,2.4663921654640337e-05,0.9999690073169065,True
12,0.3,1.9,ghz,11,cost,127,2.4663921654640337e-05,0.9999690073169065,True
8,0.3,0.9,ghz,11,cost,7,0.4114088148068963,0.07790309535640665,False
8,0.3,0.9,ghz,11,cost,15,0.27281319178234165,0.17852277701624839,False
8,0.3,0.9,ghz,11,cost,31,0.026950546925173402,0.9360211792819422,False
8,0.3,0.9,ghz,11,cost,63,0.00025028901374835044,0.9993608257658417,False
8,0.3,0.9,ghz,11,cost,95,3.0139168623488644e-05,0.9999644241614486,True
8,0.3,0.9,ghz,11,cost,127,1.0250048259052846e-05,0.9999879943911107,True
8,0.3,0.9,ghz,11,cost,127,1.0250048259052846e-05,0.9999879943911107,True
8,0.7,1.3,plus,11,cost,0,0.18868706294771886,0.8204384378238704,False
8,0.7,1.3,plus,11,cost,16,0.04323181577267188,0.926212049495926,False
8,0.7,1.3,plus,11,cost,32,0.00992138149462396,0.9884394141751104,False
8,0.7,1.3,plus,11,cost,64,0.000691649962950569,0.9994055137939671,True
8,0.7,1.3,plus,11,cost,96,0.00024280299331613797,0.9997947017124623,True
8,0.7,1.3,plus,11,cost,128,7.356417058912434e-05,0.9999436771923512,True
8,0.7,1.3,plus,11,cost,128,7.356417058912434e-05,0.9999436771923512,True
8,0.55,0.5,antiphase,11,cost,6,0.24205638164172238,0.041165033555969975,False
8,0.55,0.5,antiphase,11,cost,16,0.17715154783290943,0.09129350356784977,False
8,0.55,0.5,antiphase,11,cost,32,0.09688944639844255,0.4233934208328866,False
8,0.55,0.5,antiphase,11,cost,64,0.008704189307674137,0.9684053109014499,False
8,0.55,0.5,antiphase,11,cost,96,0.002085046846744043,0.995286393265129,False
8,0.55,0.5,antiphase,11,cost,128,0.0005867256755983652,0.9984264369556657,True
8,0.55,0.5,antiphase,11,cost,128,0.0005867256755983652,0.9984264369556657,True
8,0.0,1.4,ghz,11,cost,7,0.5870281395145673,0.15135213367141442,False
8,0.0,1.4,ghz,11,cost,15,0.35681872799744685,0.30398466397007456,False
8,0.0,1.4,ghz,11,cost,31,0.04895493618372493,0.9239951605300377,False
8,0.0,1.4,ghz,11,cost,63,0.00045645105059510804,0.9995923939833269,True
8,0.0,1.4,ghz,11,cost,95,4.0397778905854054e-05,0.9999712668031376,True
8,0.0,1.4,ghz,11,cost,127,8.298654985416931e-07,0.9999994396229818,True
8,0.0,1.4,ghz,11,cost,127,8.298654985416931e-07,0.9999994396229818,True
8,0.95,1.2,ghz,11,cost,7,1.4165312116800506,0.0019621540770645655,False
8,0.95,1.2,ghz,11,cost,15,0.7059881670595464,0.04915505644641179,False
8,0.95,1.2,ghz,11,cost,31,0.10110844534184471,0.8328380367939752,False
8,0.95,1.2,ghz,11,cost,95,0.0020513604968765975,0.9978283873769228,False
